lr-AdamW,step,val/loss_reg,val/mse_reg,val/r2_reg,val/pearson_reg,epoch,train/loss_reg,train/mse_reg,train/r2_reg,train/pearson_reg
0.001,0,,,,,,,,,
,126,0.35588347911834717,0.713218092918396,0.16209818422794342,0.4129929542541504,0,,,,
,126,,,,,0,0.4037516713142395,0.8241927623748779,0.028452763333916664,0.17197901010513306
0.001,127,,,,,,,,,
,253,0.26040157675743103,0.48262616991996765,0.4322011172771454,0.8034271001815796,1,,,,
,253,,,,,1,0.30097055435180664,0.5914753675460815,0.302344411611557,0.5891362428665161
0.001,254,,,,,,,,,
,380,0.12655170261859894,0.22994916141033173,0.7294652462005615,0.8630343675613403,2,,,,
,380,,,,,2,0.18171243369579315,0.3358169198036194,0.6040353775024414,0.7896153330802917
0.001,381,,,,,,,,,
,507,0.12583741545677185,0.22856725752353668,0.7311447858810425,0.8759675621986389,3,,,,
,507,,,,,3,0.14929749071598053,0.2712632119655609,0.6798140406608582,0.8296790719032288
0.001,508,,,,,,,,,
,634,0.11412201821804047,0.206833615899086,0.7567057609558105,0.877656877040863,4,,,,
,634,,,,,4,0.1404750645160675,0.25482475757598877,0.6994217038154602,0.8417032957077026
0.001,635,,,,,,,,,
,761,0.11888394504785538,0.2157699316740036,0.7461985945701599,0.8806858658790588,5,,,,
,761,,,,,5,0.13462881743907928,0.2439732700586319,0.7119541168212891,0.8480549454689026
0.001,762,,,,,,,,,
,888,0.11733792722225189,0.21283361315727234,0.7496299743652344,0.8804189562797546,6,,,,
,888,,,,,6,0.13024234771728516,0.23593920469284058,0.7216596007347107,0.8522334694862366
0.001,889,,,,,,,,,
,1015,0.13032914698123932,0.23678596317768097,0.7214434146881104,0.8805932998657227,7,,,,
,1015,,,,,7,0.12783455848693848,0.23140661418437958,0.7269948124885559,0.8550737500190735
0.001,1016,,,,,,,,,
,1142,0.11242233216762543,0.20354382693767548,0.7605751156806946,0.8828476667404175,8,,,,
,1142,,,,,8,0.12647341191768646,0.2289246767759323,0.7299716472625732,0.8576118350028992
0.001,1143,,,,,,,,,
,1269,0.11267854273319244,0.20414839684963226,0.7598639726638794,0.8823407292366028,9,,,,
,1269,,,,,9,0.12378790229558945,0.22396187484264374,0.7357556819915771,0.85956209897995
0.001,1270,,,,,,,,,
,1396,0.1279124915599823,0.23218688368797302,0.7268447279930115,0.8805539011955261,10,,,,
,1396,,,,,10,0.12356039136648178,0.22356824576854706,0.7362528443336487,0.8610470294952393
0.001,1397,,,,,,,,,
,1523,0.11441288143396378,0.20726171135902405,0.7562069296836853,0.8812674880027771,11,,,,
,1523,,,,,11,0.12329074740409851,0.22290682792663574,0.7369075417518616,0.8614627122879028
0.001,1524,,,,,,,,,
,1650,0.11332844197750092,0.20510120689868927,0.7587135434150696,0.882797122001648,12,,,,
,1650,,,,,12,0.1203288733959198,0.21765771508216858,0.7432077527046204,0.8632123470306396
0.001,1651,,,,,,,,,
,1777,0.118001788854599,0.21394892036914825,0.7483351826667786,0.8830193281173706,13,,,,
,1777,,,,,13,0.11998285353183746,0.217026025056839,0.7439712285995483,0.8639306426048279
0.001,1778,,,,,,,,,
,1904,0.11611619591712952,0.2101304829120636,0.7528013586997986,0.8836694359779358,14,,,,
,1904,,,,,14,0.12012610584497452,0.21728157997131348,0.7435442805290222,0.8642877340316772
0.001,1905,,,,,,,,,
,2031,0.11344277858734131,0.2053447961807251,0.7584389448165894,0.882969856262207,15,,,,
,2031,,,,,15,0.11928201466798782,0.21573227643966675,0.7455160617828369,0.865504264831543
0.001,2032,,,,,,,,,
